Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45717,75,NIFTY,NIFTY13MAR25P26550,2025-03-13,OPTIDX,PE,26550.0,0.05
NFO,45716,75,NIFTY,NIFTY13MAR25C26550,2025-03-13,OPTIDX,CE,26550.0,0.05
NFO,45715,75,NIFTY,NIFTY13MAR25P26500,2025-03-13,OPTIDX,PE,26500.0,0.05
NFO,45714,75,NIFTY,NIFTY13MAR25C26500,2025-03-13,OPTIDX,CE,26500.0,0.05
NFO,45713,75,NIFTY,NIFTY13MAR25P26450,2025-03-13,OPTIDX,PE,26450.0,0.05
NFO,45711,75,NIFTY,NIFTY13MAR25C26450,2025-03-13,OPTIDX,CE,26450.0,0.05
NFO,45710,75,NIFTY,NIFTY13MAR25P26400,2025-03-13,OPTIDX,PE,26400.0,0.05
NFO,45708,75,NIFTY,NIFTY13MAR25C26400,2025-03-13,OPTIDX,CE,26400.0,0.05
NFO,45705,75,NIFTY,NIFTY13MAR25P26350,2025-03-13,OPTIDX,PE,26350.0,0.05
NFO,45704,75,NIFTY,NIFTY13MAR25C26350,2025-03-13,OPTIDX,CE,26350.0,0.05
NFO,45703,75,NIFTY,NIFTY13MAR25P26300,2025-03-13,OPTIDX,PE,26300.0,0.05
NFO,45702,75,NIFTY,NIFTY13MAR25C26300,2025-03-13,OPTIDX,CE,26300.0,0.05
NFO,45701,75,NIFTY,NIFTY13MAR25P26250,2025-03-13,OPTIDX,PE,26250.0,0.05
NFO,45700,75,NIFTY,NIFTY13MAR25C26250,2025-03-13,OPTIDX,CE,26250.0,0.05
NFO,45699,75,NIFTY,NIFTY13MAR25P26200,2025-03-13,OPTIDX,PE,26200.0,0.05
NFO,45698,75,NIFTY,NIFTY13MAR25C26200,2025-03-13,OPTIDX,CE,26200.0,0.05
NFO,45697,75,NIFTY,NIFTY13MAR25P26150,2025-03-13,OPTIDX,PE,26150.0,0.05
NFO,45693,75,NIFTY,NIFTY13MAR25C26150,2025-03-13,OPTIDX,CE,26150.0,0.05
NFO,45691,75,NIFTY,NIFTY13MAR25P26100,2025-03-13,OPTIDX,PE,26100.0,0.05
NFO,45690,75,NIFTY,NIFTY13MAR25C26100,2025-03-13,OPTIDX,CE,26100.0,0.05
NFO,45689,75,NIFTY,NIFTY13MAR25P26050,2025-03-13,OPTIDX,PE,26050.0,0.05
NFO,45688,75,NIFTY,NIFTY13MAR25C26050,2025-03-13,OPTIDX,CE,26050.0,0.05
NFO,45687,75,NIFTY,NIFTY13MAR25P26000,2025-03-13,OPTIDX,PE,26000.0,0.05
